Departamento,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017
Amazonas,322,347,285,210,224,284,561,514,637,571,729,886
Áncash,1175,1699,1190,926,1627,1630,1804,1865,2118,2083,1892,1897
Apurímac,961,1161,1193,1261,783,1208,1510,1322,1133,865,985,1506
Arequipa,5531,5727,5896,4647,4327,3500,3551,4995,4632,3616,4916,4556
Ayacucho,1357,945,866,853,1145,1223,1502,1601,1430,1600,1817,2703
Cajamarca,519,546,655,808,933,1627,1953,2527,2091,1944,2503,2348
Callao,2548,2717,2739,2755,2960,2949,3049,3087,2731,2672,2805,3838
Cusco,1899,3320,3223,3226,2949,2884,3479,2049,1928,1953,2007,3129
Huancavelica,275,238,105,290,416,335,278,235,312,321,382,345
Huánuco,222,317,754,500,495,1796,3972,3867,5558,5765,5630,3821
Ica,1411,1145,1393,1341,1256,1706,1649,1953,2301,2652,2863,3177
Junín ,1160,1744,994,1328,1101,2039,2677,2220,2551,2265,3394,3777
La Libertad,2120,2393,2234,2251,2018,1722,1875,1868,1870,1829,2118,2240
Lambayeque,1803,1862,2179,2917,1937,1942,2429,2026,2323,2405,2869,3649
Lima ,21992,23482,22552,23096,24374,22329,23013,20013,21228,23087,24653,26181
Loreto,950,1380,989,892,770,627,693,643,718,801,914,742
Madre de Dios,425,464,489,132,57,1150,696,1097,654,1149,882,717
Moquegua,733,939,1390,1092,1663,1462,1606,1376,1454,1472,1195,654
Pasco,122,132,139,198,207,199,157,163,198,236,272,253
Piura,2242,2331,1930,1804,1979,2283,3598,3295,3651,3624,4016,3613
Puno,835,904,1118,931,985,1064,773,1116,2182,2639,2871,2468
San Martín,306,365,310,378,400,1008,1135,1120,1275,1359,1989,1624
Tacna,195,141,343,1176,1477,1275,1376,1477,1302,1210,765,780
Tumbes,556,450,657,715,576,937,470,304,255,197,292,301
Ucayali,361,280,642,629,632,640,1142,918,848,691,654,806
